TypeofCancer,Compound,CID,CAS,Trend,Sample,TypeofSampl,TypeofControl,Formula
Colorectal,"1,2-xylene;1,3-xylene;1,4-xylene",6850715,128686-03-3,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C24H30
Colorectal,"1,4-xylene",7809,106-42-3,-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H4(CH3)2
Colorectal,cyclohexanone,7967,108-94-1,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H10O
Colorectal,dodecane,8182,112-40-3,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C12H26
Colorectal,"2,2-dimethyldecane",28459,17302-37-3,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C12H26
Colorectal,4-ethyloct-1-yn-3-ol,93012,5877-42-9,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C10H18O
Colorectal,(E)-dodec-2-en-1-ol,5352845,69064-37-5,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C12H24O
Colorectal,cyclooctylmethanol,77196,3637-63-6,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C9H18O
Colorectal,N-ethylaniline,7670,103-69-5,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C8H11N
Colorectal,"(3-hydroxy-2,4,4-trimethylpentyl) 2-methylpropanoate",551387,74367-34-3,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C12H24O3
Colorectal,"(3E,5Z)-6-tert-butyl-2,2,9,9-tetramethyldeca-3,5-dien-7-yne",5364982,-,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C18H30
Colorectal,propan-2-one,180,67-64-1,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C3H6O
Colorectal,ethyl acetate,8857,141-78-6,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C4H8O2
Colorectal,ethanol,702,64-17-5,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,CH3CH2OH
Colorectal,4-methyloctane,16665,2216-34-4,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C9H20
Colorectal,nonan-2-one,13187,821-55-6,Produced,in vitro,SW 1116,Culture medium,C9H18O
Colorectal,undecan-2-ol,15448,1653-30-1,Produced,in vitro,SW 1116,Culture medium,C11H24O
Colorectal,3-methylbutan-1-ol,31260,123-51-3,Produced,in vitro,SW 1116,Culture medium,C5H12O
Colorectal,heptan-1-ol,8129,111-70-6,Produced,in vitro,SW 1116,Culture medium,C7H16O
Colorectal,3-methylbutan-1-ol,31260,123-51-3,Produced,in vitro,SW 1116,NCM460,C5H12O
Colorectal,heptan-1-ol,8129,111-70-6,Produced,in vitro,SW 1116,NCM460,C7H16O
Colorectal,octan-1-ol,957,111-87-5,Produced,in vitro,SW 1116,NCM460,C8H18O
Colorectal,nonan-2-one,13187,821-55-6,Produced,in vitro,SW 480,Culture medium,C9H18O
Colorectal,undecan-2-ol,15448,1653-30-1,Produced,in vitro,SW 480,Culture medium,C11H24O
Colorectal,pentadecan-2-one,61303,2345-28-0,Produced,in vitro,SW 480,Culture medium,C15H30O
Colorectal,octan-1-ol,957,111-87-5,Produced,in vitro,SW 480,Culture medium,C8H18O
Colorectal,pentadecan-2-one,61303,2345-28-0,Produced,in vitro,SW 480,NCM460,C15H30O
Colorectal,octan-1-ol,957,111-87-5,Produced,in vitro,SW 480,NCM460,C8H18O
Colorectal,benzaldehyde,240,100-52-7,Metabolized,in vitro,SW 1116,Culture medium,C7H6O
Colorectal,benzaldehyde,240,100-52-7,Metabolized,in vitro,SW 480,Culture medium,C7H6O
Colorectal,decan-1-ol,8174,112-30-1,Metabolized,in vitro,SW 1116,Culture medium,C10H22O
Colorectal,decan-1-ol,8174,112-30-1,Metabolized,in vitro,SW 480,Culture medium,C10H22O
Colorectal,methyl dodecanoate,8139,111-82-0,Metabolized,in vitro,SW 1116,Culture medium,C13H26O2
Colorectal,methyl dodecanoate,8139,111-82-0,Metabolized,in vitro,SW 480,Culture medium,C13H26O2
Colorectal,benzaldehyde,240,100-52-7,Metabolized,in vitro,SW480,culture medium,C7H6O
Colorectal,methyl dodecanoate,8139,111-82-0,Metabolized,in vitro,SW481,culture medium,C13H26O2
Colorectal,decan-1-ol,8174,112-30-1,Metabolized,in vitro,SW482,culture medium,C10H22O
Colorectal,nonan-2-one,13187,821-55-6,Produced,in vitro,SW483,culture medium,C9H18O
Colorectal,pentadecan-2-one,61303,2345-28-0,Produced,in vitro,SW484,culture medium,C15H30O
Colorectal,undecan-2-ol,15448,1653-30-1,Produced,in vitro,SW485,culture medium,C11H24O
Colorectal,undecan-2-ol,15448,1653-30-1,Produced,in vitro,standard SW485,serum-free SW485,C11H24O
Breast,"2,4-dimethylhept-1-ene",123385,19549-87-2,Increase,in vitro,"MCF-10a, MDA-231, MCF-7, SKBR-3, BT-474, ZR75-1",Culture medium,C9H18
Breast,"1,2-xylene",7237,95-47-6,Increase,in vitro,"MCF-7, BT-474, ZR75-2",Culture medium,C6H4(CH3)2
Breast,"1,2-xylene",7237,95-47-6,Decrease,in vitro,"MCF-10a, MDA-231, SKBR-3",Culture medium,C6H4(CH3)2
Breast,"2,3-dimethylhexane",11447,584-94-1,Increase,in vitro,"MDA-231, MCF-7, SKBR-3",Culture medium,C8H18
Breast,"2,2-dimethylbutane",6403,107-83-5,Increase,in vitro,"MCF-10a, MDA-231, MCF-7, SKBR-3, BT-474, ZR75-4",Culture medium,C6H14
Breast,cyclohexanol,7966,108-93-0,Increase,in vitro,"MCF-7, SKBR-3, BT-474",Culture medium,C6H11OH
Breast,cyclohexanol,7966,108-93-0,Decrease,in vitro,"MCF-10a, MDA-231",Culture medium,C6H11OH
Breast,dodecan-2-one,22556,6175-49-1,Increase,in vitro,"MCF-7, ZR75-6",Culture medium,C12H24O
Breast,nonan-2-one,13187,821-55-6,Increase,in vitro,"MCF-10a, MDA-231, MCF-7, SKBR-3, BT-474, ZR75-7",Culture medium,C9H18O
Breast,4-methylheptan-2-one,94317,6137-06-0,Increase,in vitro,"MCF-10a, MDA-231, MCF-7, SKBR-3, BT-474, ZR75-8",Culture medium,C8H16O
Breast,nonan-2-one,13187,821-55-6,Decrease,in vitro,"MDA-231, MCF-7, SKBR-3, ZR75-9",MCF-10a,C9H18O
Breast,4-methylheptan-2-one,94317,6137-06-0,Decrease,in vitro,"MDA-231, MCF-7, SKBR-3, ZR75-9",MCF-10a,C8H16O
Breast,nonan-2-one,13187,821-55-6,Increase,in vitro,BT-474,MCF-10a,C9H18O
Breast,4-methylheptan-2-one,94317,6137-06-0,Increase,in vitro,BT-474,MCF-10a,C8H16O
Breast,"2,5,6-trimethyloctane",545571,-,Increase,in vivo,Breath from patients with breast cancer,Breath from healthy individuals,C11H24
Breast,"1,4-dimethoxybutane-2,3-diol",542383,-,Increase,in vivo,Breath from patients with breast cancer,Breath from healthy individuals,C6H14O4
Breast,cyclohexanone,7967,108-94-1,Increase,in vivo,Breath from patients with breast cancer,Breath from healthy individuals,C6H10O
Breast,"3,3-dimethylpentane",11229,562-49-2,Increase,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C7H16
Breast,2-amino-8-methyl-5-propan-2-ylazulene-1-carbonitrile,614282,-,Decrease,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C15H16N2
Breast,5-(2-methylpropyl)nonane,545936,-,Decrease,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C13H28
Breast,"2,3,4-trimethyldecane",537769,-,Decrease,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C13H28
Breast,6-ethyloctan-3-yl 2-(trifluoromethyl)benzoate,599417,-,Decrease,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C18H25F3O2
Breast,nonane,8141,111-84-2,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C9H20
Breast,5-methyltridecane,520182,-,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C14H30
Breast,3-methylundecane,13845,1002-43-3,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C12H26
Breast,6-methylpentadecane,24945,-,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C16H34
Breast,2-methylpropane,6360,75-28-5,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C4H10
Breast,3-methylnonadecane,94322,6418-45-7,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C20H42
Breast,(4S)-4-methyldodecane,24884417,-,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C13H28
Breast,2-methyloctane,18591,3221-61-2,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C9H20
Breast,(E)-but-2-enoic acid,637090,107-93-7,Increase,in vitro,"T47D,SKBR-3, MDA-MB-231",normal human mammary cells (HMLE),C4H6O2
Breast,(E)-oct-2-enoic acid,5282714,1470-50-4,Increase,in vitro,"T47D,SKBR-3, MDA-MB-232",normal human mammary cells (HMLE),C8H14O2
Breast,(E)-4-hydroxynon-2-enal,5283344,29343-52-0,Increase,in vitro,"T47D,SKBR-3, MDA-MB-233",normal human mammary cells (HMLE),C9H16O2
Breast,"methyl 2-[(1R,2R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetate",5281929,20073-13-6,Increase,in vitro,"T47D,SKBR-3, MDA-MB-234",normal human mammary cells (HMLE),C13H20O3
Breast,"4-[(1S,2S)-3-oxo-2-pentylcyclopentyl]butanoic acid",16061081,-,Increase,in vitro,"T47D,SKBR-3, MDA-MB-235",normal human mammary cells (HMLE),C14H24O3
Breast,morpholine,8083,110-91-8,decrease,in vitro,"T47D,SKBR-3, MDA-MB-236",normal human mammary cells (HMLE),C4H9NO
Breast,"2,4,5-trimethyl-2,5-dihydro-1,3-oxazole",31492,22694-96-8,decrease,in vitro,"T47D,SKBR-3, MDA-MB-237",normal human mammary cells (HMLE),C6H11NO
Breast,4-(2-hydroxypropan-2-yl)cyclohexene-1-carboxylic acid,12313716,-,decrease,in vitro,"T47D,SKBR-3, MDA-MB-238",normal human mammary cells (HMLE),C10H16O3
Breast,"(1E)-1-(2,6,6-trimethylcyclohex-2-en-1-yl)hepta-1,6-dien-3-one",5365976,79-78-7,decrease,in vitro,"T47D,SKBR-3, MDA-MB-239",normal human mammary cells (HMLE),C16H24O
Breast,"[(E)-3-methyl-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-yl] acetate",6437467,68555-61-3,decrease,in vitro,"T47D,SKBR-3, MDA-MB-240",normal human mammary cells (HMLE),C16H26O2
Breast,prop-2-enal,7847,107-02-8,Increase,in vitro,MCF-7,Solid residue left after centrifugation,CH2=CHCHO
Breast,prop-2-enal,7847,107-02-8,Increase,in vitro,doxorubicin-resistant MCF-7,Solid residue left after centrifugation,CH2=CHCHO
Breast,methane,297,74-82-8,Increase,in vitro,MCF-7,Solid residue left after centrifugation,CH4
Breast,methane,297,74-82-8,Increase,in vitro,MCF-7,Upon treatment with anthracycline antitumor drugs,CH4
Breast,hexanal,6184,66-25-1,Increase,in vivo,Breath samples from patients with lung cancer (NSCLC),Breath samples from healthy individuals,C6H12O
Breast,heptanal,8130,111-71-7,Increase,in vivo,Breath samples from patients with lung cancer (NSCLC),Breath samples from healthy individuals,C7H14O
Breast,octanal,454,124-13-0,Increase,in vivo,Breath samples from patients with lung cancer (NSCLC),Breath samples from healthy individuals,C8H16O
Breast,nonanal,31289,124-19-6,Increase,in vivo,Breath samples from patients with lung cancer (NSCLC),Breath samples from healthy individuals,C9H18O
Breast,1-phenylethanone,7410,98-86-2,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C8H8O
Breast,"1-phenyl-2,3-dihydroquinazolin-4-one",607067,-,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C14H12N2O
Breast,propan-2-ol,3776,67-63-0,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C3H8O
Breast,heptanal,8130,111-71-7,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C7H14O
Breast,propan-2-yl tetradecanoate,8042,110-27-0,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C17H34O2
Breast,ethylidenecyclopropane,140404,18631-83-9,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C5H8
Breast,"penta-1,4-diene",11587,591-93-5,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C5H8
Breast,"2-methylbuta-1,3-diene",6557,78-79-5,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C5H8
Breast,"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",11169,556-67-2,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C8H24O4Si4
Breast,ethyl tris(trimethylsilyl) silicate,624542,-,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C11H32O4Si4
Breast,trimethylsilyl 4-methyl-2-trimethylsilyloxybenzoate,528664,-,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C14H24O3Si2
Breast,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,440917,5989-27-5,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C10H16
Breast,1-methyl-5-prop-1-en-2-ylcyclohexene,102625,1461-27-4,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C10H16
Breast,1-methyl-5-prop-1-en-2-ylcyclohexene,102625,1461-27-4,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C10H16
Breast,"1,2,4,5-tetramethylbenzene",7269,95-93-2,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C10H14
Breast,"1,2,3,5-tetramethylbenzene",10695,527-53-7,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C10H14
Breast,"1-ethyl-3,5-dimethylbenzene",13627,934-74-7,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C10H14
Breast,tridecane,12388,629-50-5,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C13H28
Breast,dodecane,8182,112-40-3,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C12H26
Breast,undecane,14257,1120-21-4,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C11H24
Breast,"2,7,10-trimethyldodecane",93447,74645-98-0,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C15H32
Breast,tridecane,12388,629-50-5,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C13H28
Breast,tetradecane,12389,629-59-4,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C14H30
Breast,tridecane,12388,629-50-5,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C13H28
Breast,pentadecane,12391,629-62-9,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C15H32
Breast,-,289151,475-20-7,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C15H24
Breast,"1,1,7-trimethyl-4-methylidene-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulene",91354,25246-27-9,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C15H24
Breast,-,570529,-,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C15H24
Breast,2-hexyloctan-1-ol,545551,19780-79-1,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C14H30O
Breast,2-butyloctan-1-ol,19800,08-02-3913,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C12H26O
Breast,"octadecyl 2,2,2-trifluoroacetate",522719,-,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C20H37F3O2
Breast,"2,6-ditert-butylcyclohexa-2,5-diene-1,4-dione",12867,719-22-2,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C14H20O2
Breast,"2,5-ditert-butylcyclohexa-2,5-diene-1,4-dione",17161,2460-77-7,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C14H20O2
Breast,"[(7E)-2,6,6-trimethyl-3-methylidene-7-(3-oxobutylidene)oxepan-2-yl] acetate",5363907,-,-,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C16H24O4
Breast,"1,1,2-trichloroethene",6575,79-01-6,Increase,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C2HCl3
Breast,3-methylhexane,11507,589-34-4,Decrease,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C7H16
Breast,(E)-dec-2-ene,5364559,20348-51-0,Decrease,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C10H20
Breast,"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",5281515,87-44-5,Decrease,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C15H24
Breast,naphthalene,931,91-20-3,Decrease,in vivo,Breath samples from patients with breast cancer,Breath samples from healthy individuals,C10H8
Breast,2-ethylhexan-1-ol,7720,104-76-7,Increase,in vitro,"T-47D,MDA-MB-231, MCF-7",HMEC,C8H18O
Breast,cyclohexanol,7966,108-93-0,Increase,in vitro,"T-47D,MDA-MB-231, MCF-7",HMEC,C6H11OH
Breast,pentan-2-one,7895,107-87-9,Produced,in vitro,"T-47D,MDA-MB-231, MCF-7",HMEC,C5H10O
Breast,heptan-2-one,8051,110-43-0,Produced,in vitro,"T-47D,MDA-MB-231, MCF-7",HMEC,C7H14O
Breast,3-methylbut-3-en-1-ol,12988,763-32-6,Produced,in vitro,"T-47D,MDA-MB-231, MCF-7",HMEC,C5H10O
Breast,ethyl acetate,8857,141-78-6,Produced,in vitro,"T-47D,MDA-MB-231, MCF-7",HMEC,C4H8O2
Breast,ethyl propanoate,7749,105-37-3,Produced,in vitro,"T-47D,MDA-MB-231, MCF-7",HMEC,C5H10O2
Breast,2-methylbutanoic acid,8314,116-53-0,Produced,in vitro,"T-47D,MDA-MB-231, MCF-7",HMEC,
Gastric and esophageal,propan-1-ol,1031,71-23-8,Increase,Ex vivo,Stomach tissue from patients with gastric cancer,Stomach tissue from healthy individuals,C3H8O
Gastric and esophageal,butan-2-one,6569,78-93-3,Decrease,Ex vivo,Stomach tissue from patients with gastric cancer,Stomach tissue from healthy individuals,C4H8O
Gastric and esophageal,pentan-2-one,7895,107-87-9,Decrease,Ex vivo,Stomach tissue from patients with gastric cancer,Stomach tissue from healthy individuals,C5H10O
Gastric and esophageal,ethanol,702,64-17-5,Increase,Ex vivo,Stomach tissue from patients with gastric cancer,Stomach tissue from healthy individuals,CH3CH2OH
Gastric and esophageal,2-ethylphenol,6997,90-00-6,Increase,in vivo,Breath from esophagogastric cancer patients,Breath samples from healthy individuals,C8H10O
Gastric and esophageal,hexanoic acid,8892,142-62-1,Increase,in vivo,Breath from esophagogastric cancer patients,Breath samples from healthy individuals,C6H12O2
Gastric and esophageal,2-methylphenol,335,95-48-7,Increase,in vivo,Breath from esophagogastric cancer patients,Breath samples from healthy individuals,C7H8O
Gastric and esophageal,phenol,996,108-95-2,Increase,in vivo,Breath from esophagogastric cancer patients,Breath samples from healthy individuals,C6H6O
Gastric and esophageal,propan-2-one,180,67-64-1,Decrease,in vivo,Breath from esophagogastric cancer patients,Breath samples from healthy individuals,C3H6O
Gastric and esophageal,"2-methylbuta-1,3-diene",6557,78-79-5,Increase,in vivo,Breath from esophagogastric cancer patients,Breath samples from healthy individuals,C5H8
Gastric and esophageal,methanol,887,67-56-1,Increase,in vivo,Breath from esophagogastric cancer patients,Breath samples from healthy individuals,CH4O
Gastric and esophageal,acetaldehyde,177,75-07-0,Increase,in vivo,urine samples from gastro-esophageal cancer patients,urine samples from healthy individuals,C2H4O
Gastric and esophageal,propan-2-one,180,67-64-1,Increase,in vivo,urine samples from gastro-esophageal cancer patients,urine samples from healthy individuals,C3H6O
Gastric and esophageal,acetic acid,176,64-19-7,Increase,in vivo,urine samples from gastro-esophageal cancer patients,urine samples from healthy individuals,C2H4O2
Gastric and esophageal,hexanoic acid,8892,142-62-1,Increase,in vivo,urine samples from gastro-esophageal cancer patients,urine samples from healthy individuals,C6H12O2
Gastric and esophageal,sulfane,402,04-06-7783,Increase,in vivo,urine samples from gastro-esophageal cancer patients,urine samples from healthy individuals,H2S
Gastric and esophageal,methanol,887,67-56-1,Increase,in vivo,urine samples from gastro-esophageal cancer patients,urine samples from healthy individuals,CH4O
Gastric and esophageal,phenol,996,108-95-2,Decrease,in vivo,urine samples from gastro-esophageal cancer patients,urine samples from healthy individuals,C6H6O
Gastric and esophageal,pentanoic acid,7991,109-52-4,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C5H10O2
Gastric and esophageal,hexanoic acid,8892,142-62-1,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C6H12O2
Gastric and esophageal,phenol,996,108-95-2,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C6H6O
